id,price,area,bedrooms,wc,n_floors,car_place,house_orientation,furniture,facade,legal,street,district,type,date,address,latitude,longitude
85315,4.8,65,2.0,2.0,2.0,0,,,0,,,gò vấp,tin thường,04/12/2022,gò vấp,10.8306171,106.6779308
110915,5.9,60,3.0,6.0,2.0,0,,,0,,,bình thạnh,tin thường,18/10/2023,bình thạnh,10.8017639,106.7110322
108099,5.8,60,3.0,3.0,2.0,1,,,0,,đặng văn bi,thủ đức,tin thường,15/09/2023,"đặng văn bi, thủ đức",10.8406385,106.7656211
107843,0.005,60,2.0,2.0,2.0,1,tây,,0,,lê đức thọ,gò vấp,tin thường,13/09/2023,"lê đức thọ, gò vấp",10.8295183,106.6818975
98371,11.2,108,3.0,2.0,2.0,1,,,0,,,bình thạnh,tin thường,02/06/2023,bình thạnh,10.8017639,106.7110322
93507,0.72,100,2.0,1.0,3.0,0,,,0,,,hóc môn,tin thường,28/03/2023,hóc môn,10.878345,106.5763531
88643,10.5,75,1.0,1.0,5.0,1,,,0,,vạn kiếp,bình thạnh,tin thường,27/01/2023,"vạn kiếp, bình thạnh",10.797113,106.6937195
88387,3.65,38,2.0,2.0,1.0,0,,,0,,,bình tân,tin thường,10/01/2023,bình tân,10.7703708,106.5996353
87619,6.73,65,2.0,3.0,1.0,1,đông-nam,,0,,,bình thạnh,tin thường,27/12/2022,bình thạnh,10.8017639,106.7110322
111939,4.05,61,3.0,2.0,2.0,1,,,0,,q12,quận 12,tin thường,27/10/2023,"q12, quận 12",10.8344473,106.6193158
112451,5.0,39,3.0,3.0,3.0,1,đông-nam,,0,,điện biên phủ,quận 10,tin thường,03/11/2023,"điện biên phủ, quận 10",10.7714939,106.677566
89156,0.02,98,3.0,3.0,2.0,1,,,0,,đỗ xuân hợp,quận 9,tin thường,07/02/2023,"đỗ xuân hợp, quận 9",10.8397,106.77093
98884,5.6,48,3.0,2.0,1.0,0,,,0,,,quận 11,tin thường,09/06/2023,quận 11,10.7658124,106.6474946
98116,2.5,32,2.0,2.0,1.0,0,,,0,,,bình thạnh,tin thường,30/05/2023,bình thạnh,10.8017639,106.7110322
95300,5.5,31,3.0,3.0,2.0,0,tây-nam,,0,,,gò vấp,tin thường,19/04/2023,gò vấp,10.8306171,106.6779308
94532,9.7,125,1.0,1.0,2.0,1,,,0,,,gò vấp,tin thường,10/04/2023,gò vấp,10.8306171,106.6779308
93508,0.038,100,2.3268855441238903,2.0,3.0,0,tây-nam,,0,,nguyễn thái bình,quận 1,tin thường,28/03/2023,"nguyễn thái bình, quận 1",10.7686402,106.700592
89924,0.007,55,1.0,1.0,2.0,1,,,0,,đỗ xuân hợp,quận 9,tin thường,16/02/2023,"đỗ xuân hợp, quận 9",10.8397,106.77093
88644,9.25,65,4.0,5.0,2.0,1,đông,,0,,trịnh đình trọng,tân phú,tin thường,27/01/2023,"trịnh đình trọng, tân phú",10.7758961,106.6409672
113219,3.58,32,3.0,3.0,1.0,0,,,0,,,quận 8,tin thường,24/11/2023,quận 8,10.7217236,106.6296151
88388,5.75,90,3.0,2.0,2.0,1,,,0,,,gò vấp,tin thường,10/01/2023,gò vấp,10.8306171,106.6779308
87108,6.6,42,3.0,2.0,1.0,0,,,0,,,quận 5,tin thường,21/12/2022,quận 5,10.7553616,106.6685441
86084,6.45,56,4.0,4.0,4.0,1,,,0,,,bình thạnh,tin thường,11/12/2022,bình thạnh,10.8017639,106.7110322
81988,5.65,91,3.0,2.0,2.0,1,,,0,,số 1,gò vấp,tin thường,06/11/2022,"số 1, gò vấp",10.8465219,106.6700497
81732,9.3,58,4.0,5.0,3.0,0,,,0,,nguyễn đình chính,phú nhuận,tin thường,04/11/2022,"nguyễn đình chính, phú nhuận",10.7961407,106.6789759
114756,4.7,50,3.0,2.0,1.0,0,đông,,0,,phạm văn chiêu,gò vấp,tin thường,01/12/2023,"phạm văn chiêu, gò vấp",10.8537373,106.6642851
90949,4.9,60,4.0,3.0,3.0,1,,,0,,tân chánh hiệp,quận 12,tin thường,27/02/2023,"tân chánh hiệp, quận 12",10.8678527,106.6231544
88389,4.3,48,2.8991582329646524,2.475471912319503,1.0,1,,,0,,,bình tân,tin thường,10/01/2023,bình tân,10.7703708,106.5996353
86085,7.1,64,4.0,2.0,2.0,1,,,0,,,gò vấp,tin thường,11/12/2022,gò vấp,10.8306171,106.6779308
85829,2.9,55,2.0,2.0,2.0,0,,,0,,,quận 8,tin thường,07/12/2022,quận 8,10.7217236,106.6296151
82245,5.4,56,3.0,4.0,2.0,1,,,0,,tân sơn nhì,tân phú,tin thường,09/11/2022,"tân sơn nhì, tân phú",10.7992044,106.6320132
81221,4.7,29,3.0,3.0,4.0,1,,,0,,,bình thạnh,tin thường,01/11/2022,bình thạnh,10.8017639,106.7110322
80965,10.1,84,6.0,6.0,3.0,1,,,0,,,bình thạnh,tin thường,31/10/2022,bình thạnh,10.8017639,106.7110322
113220,0.035,105,4.0,5.0,3.0,0,,,0,,đỗ xuân hợp,quận 9,tin thường,24/11/2023,"đỗ xuân hợp, quận 9",10.8397,106.77093
101188,4.7,50,2.0,2.0,2.0,0,,,0,,quang trung,gò vấp,tin thường,06/07/2023,"quang trung, gò vấp",10.8380478,106.6521633
108356,4.5,41,2.0,2.0,2.0,0,,,0,,,bình tân,tin thường,20/09/2023,bình tân,10.7703708,106.5996353
107332,8.7,120,2.0,2.0,2.0,0,tây-bắc,,0,,59,bình thạnh,tin thường,07/09/2023,"59, bình thạnh",10.8017639,106.7110322
106564,4.0,110,5.0,5.0,2.0,1,,,0,,đình phong phú,quận 9,tin thường,29/08/2023,"đình phong phú, quận 9",10.8397,106.77093
102468,1.95,100,2.7406332776334255,2.3635308923610747,1.0,0,,,0,,,thủ đức,tin thường,18/07/2023,thủ đức,10.8298295,106.7617899
91461,7.5,90,3.9666425932777223,3.36987428078553,1.0,1,,,0,,thành phố hồ chí minh,tân bình,tin thường,03/03/2023,"thành phố hồ chí minh, tân bình",10.7704304,106.650936
92485,3.0,30,2.0,2.0,2.0,1,,,0,,cityland trần thị nghỉ,gò vấp,tin thường,16/03/2023,"cityland trần thị nghỉ, gò vấp",10.81667,106.68333
106053,0.6,45,1.9616538093004752,2.2039965473019647,2.0,0,,,0,,trần đại nghĩa,bình chánh,tin thường,23/08/2023,"trần đại nghĩa, bình chánh",10.7294829,106.5814996
113477,0.005,40,1.0,1.0,2.0,0,tây,,0,,dương quảng hàm,gò vấp,tin thường,21/11/2023,"dương quảng hàm, gò vấp",10.8249922,106.6950636
112197,2.9,91,2.0,2.0,1.0,0,đông-nam,,0,,số 3,tân bình,tin thường,01/11/2023,"số 3, tân bình",10.802583,106.6521157
110405,6.7,63,4.0,5.0,4.0,1,,,0,,số 8,gò vấp,tin thường,12/10/2023,"số 8, gò vấp",10.8554027,106.6531649
110149,4.25,82,2.0,3.129514003839584,3.0,0,,,0,,tân thới nhất,quận 12,tin thường,10/10/2023,"tân thới nhất, quận 12",10.8306721,106.6151355
108613,2.55,62,2.642776482436429,2.3329552182674873,2.0,1,,,0,,nguyễn xí,bình thạnh,tin thường,22/09/2023,"nguyễn xí, bình thạnh",10.8099275,106.7126155
108101,6.7,35,3.0,3.5969153456759075,4.0,1,,,0,,,quận 3,tin thường,15/09/2023,quận 3,10.778639,106.6870156
93765,8.6,88,5.0,5.0,3.0,1,,,0,,,gò vấp,tin thường,01/04/2023,gò vấp,10.8306171,106.6779308
105285,4.2,18,3.0,3.0,2.0,0,đông-bắc,,0,,,phú nhuận,tin thường,15/08/2023,phú nhuận,10.7990972,106.6802278
102469,1.5,24,3.0,1.9549862080688174,1.0,0,,,0,,nguyễn tất thành,quận 4,tin thường,18/07/2023,"nguyễn tất thành, quận 4",10.7631595,106.7080243
100421,4.8,53,3.0,4.0,2.0,1,,,0,,lò lu,quận 9,tin thường,27/06/2023,"lò lu, quận 9",10.8397,106.77093
99397,4.5,60,3.0,2.0,3.0,1,,,0,,mã lò,bình tân,tin thường,14/06/2023,"mã lò, bình tân",10.7595344,106.6056798
98885,4.45,55,2.0,2.0,1.0,1,,,0,,,quận 11,tin thường,09/06/2023,quận 11,10.7658124,106.6474946
98373,0.007,55,1.0,1.0,1.0,0,,,0,,đỗ xuân hợp,quận 9,tin thường,02/06/2023,"đỗ xuân hợp, quận 9",10.8397,106.77093
80966,6.1,59,4.0,4.0,3.0,1,,,0,,,gò vấp,tin thường,31/10/2022,gò vấp,10.8306171,106.6779308
81478,5.8,66,3.0,2.0,1.0,1,,,0,,,quận 9,tin thường,03/11/2022,quận 9,10.8164747,106.7932921
89414,4.5,39,3.0,3.0,2.0,0,,,0,,tây thạnh,tân phú,tin thường,09/02/2023,"tây thạnh, tân phú",10.812483,106.6237735
97094,2.8,21,2.224787077908482,2.09686116589606,3.0,0,,,0,,,tân bình,tin thường,18/05/2023,tân bình,10.802583,106.6521157
95302,4.3,44,3.0,3.0,3.0,1,đông-bắc,,0,,quang trung,gò vấp,tin thường,19/04/2023,"quang trung, gò vấp",10.8380478,106.6521633
